FIXNUMBER,OTTERNO,OTTERNAME,Date,SEX,AGE_CLASS,STATUS,ACTIV,BEHAV,TealeX,TealeY,NEAR_DIST,ATOS,REPRO_STATE,REPRO_SUCCESS,UP_INDEX,DEPTH
N-1346-08-S_-3120578496_45365,N-1346-08-S,4.994,4/1/09,1,4,f,i,r,-134163.8295,-225917.5545,176.195423,619.1051909,1,1,204,-2.8513
N-1346-08-S_-3120405696_42610,N-1346-08-S,4.994,4/3/09,1,4,f,a,g,-134562.007,-225106.2404,261.57259,617.1078805,1,1,251,-6.9226
N-1346-08-S_-3120319296_39656,N-1346-08-S,4.994,4/4/09,1,4,f,a,s,-134614.3622,-225307.5387,371.761344,617.4540301,1,1,21,-11.005
N-1346-08-S_-3119973696_44560,N-1346-08-S,4.994,4/8/09,1,4,x,i,r,-134207.9475,-226271.4368,236.214289,620.4043242,1,1,41,-8.9783
N-1346-08-S_-3119800896_41129,N-1346-08-S,4.994,4/10/09,1,4,f,i,g,-134294.9748,-226368.963,351.240302,620.2858054,1,1,149,-12.613
N-1346-08-S_-3119714496_37210,N-1346-08-S,4.994,4/11/09,1,4,f,i,r,-134182.2152,-226233.3946,204.913488,620.4552778,1,1,133,-7.6818
N-1346-08-S_-3119541696_45024,N-1346-08-S,4.994,4/13/09,1,4,f,i,g,-134243.153,-226379.1117,310.331725,620.2384717,1,1,207,-11.108
N-1346-08-S_-3119368896_46422,N-1346-08-S,4.994,4/15/09,1,4,f,a,f,-134511.5615,-225431.9441,368.678192,618.2206129,1,1,264,-9.6663
N-1346-08-S_-3119196096_43313,N-1346-08-S,4.994,4/17/09,1,4,f,i,r,-134220.5128,-226279.9065,250.438753,620.3969103,1,1,91,-9.476
N-1346-08-S_-3119109696_44731,N-1346-08-S,4.994,4/18/09,1,4,f,i,r,-134126.8685,-225910.1347,138.747225,619.0969271,1,1,49,-2.233
N-1346-08-S_-3118850496_51544,N-1346-08-S,4.994,4/21/09,1,4,f,i,g,-134335.4796,-226103.311,361.806564,619.2317844,1,1,62,-11.619
N-1346-08-S_-3118677696_43536,N-1346-08-S,4.994,4/23/09,1,4,x,i,r,-134314.8915,-226117.4134,339.013875,619.267994,1,1,108,-11.02
N-1346-08-S-2009-04-25-52638,N-1346-08-S,4.994,4/25/09,1,4,f,a,f,-134166.0306,-225662.0607,96.332717,618.4176106,1,1,155,-0.83015
N-1346-08-S_-3118418496_36637,N-1346-08-S,4.994,4/26/09,1,4,f,i,r,-134744.8816,-224827.8943,254.377712,616.4327764,2,8,108,-7.43
N-1346-08-S_-3118245696_50910,N-1346-08-S,4.994,4/28/09,1,4,x,u,u,-134762.7261,-225256.5285,492.716473,617.2330557,2,8,90,-14.5
N-1346-08-S_-3117640896_47516,N-1346-08-S,4.994,5/5/09,1,4,f,i,r,-134391.6002,-226269.104,417.09852,619.4860569,2,8,69,-15.066
N-1346-08-S-2009-05-06-34583,N-1346-08-S,4.994,5/6/09,1,4,f,a,f,-134605.1814,-224845.21,156.05536,617.4185372,2,8,145,-2.5518
N-1346-08-S_-3117381696_44159,N-1346-08-S,4.994,5/8/09,1,4,f,i,r,-134377.6056,-226318.6603,412.397419,620.4202497,2,8,231,-14.876
N-1346-08-S_-3116949696_42997,N-1346-08-S,4.994,5/13/09,1,4,f,i,r,-134761.2567,-224746.8529,208.146158,616.2964969,2,8,185,-6.5418
N-1346-08-S_-3116863296_39391,N-1346-08-S,4.994,5/14/09,1,4,f,i,r,-134764.6234,-224686.2402,167.177201,616.2023664,2,8,174,-5.6116
N-1346-08-S-2009-05-16-42430,N-1346-08-S,4.994,5/16/09,1,4,f,a,f,-134062.6861,-226584.5134,310.603892,620.3178292,2,8,25,-6.0103
N-1346-08-S_-3116604096_37202,N-1346-08-S,4.994,5/17/09,1,4,s,i,d,-134290.6815,-226359.4744,343.356467,620.2997361,3,8,22,-12.407
N-1346-08-S_-3115999296_55078,N-1346-08-S,4.994,5/24/09,1,4,s,i,r,-134012.1979,-227563.9116,363.330992,622.4236103,3,8,126,-10.407
N-1346-08-S_-3115567296_45855,N-1346-08-S,4.994,5/29/09,1,4,s,i,d,-133968.8941,-228496.7452,466.947479,624.2683108,3,8,10,-13.723
N-1346-08-S_-3115135296_45990,N-1346-08-S,4.994,6/3/09,1,4,s,a,d,-133794.2426,-228426.7019,284.431709,624.2267912,3,8,22,-6.1154
N-1346-08-S_-3115048896_47959,N-1346-08-S,4.994,6/4/09,1,4,s,i,r,-133943.6654,-228473.9177,438.24282,624.2382034,3,8,25,-12.486
N-1346-08-S_-3114962496_43595,N-1346-08-S,4.994,6/5/09,1,4,s,i,r,-133819.6267,-228401.9698,308.550854,624.1665981,3,8,15,-6.8048
N-1346-08-S_-3114789696_44122,N-1346-08-S,4.994,6/7/09,1,4,s,i,r,-133932.7789,-228296.8583,431.496094,624.0774482,4,8,34,-11.654
N-1346-08-S_-3114616896_45038,N-1346-08-S,4.994,6/9/09,1,4,s,a,f,-134192.2533,-225811.6573,175.570652,619.3194184,4,8,32,-1.1876
N-1346-08-S-2009-06-10-58541,N-1346-08-S,4.994,6/10/09,1,4,s,a,g,-134160.0346,-227166.9041,512.142049,621.4971493,4,8,36,-12.436
N-1346-08-S_-3114444096_53573,N-1346-08-S,4.994,6/11/09,1,4,s,i,g,-135279.6714,-223692.8051,283.837195,614.3167979,4,8,51,-7.4598
N-1346-08-S_-3114357696_49811,N-1346-08-S,4.994,6/12/09,1,4,s,i,g,-133784.4484,-227818.7166,161.651769,623.0304223,4,8,43,-2.1812
N-1346-08-S_-3113925696_47804,N-1346-08-S,4.994,6/17/09,1,4,s,a,g,-135096.9643,-223609.1369,86.864089,614.2785592,4,8,52,-1.5666
N-1346-08-S_-3113752896_39193,N-1346-08-S,4.994,6/19/09,1,4,s,i,d,-134286.5633,-225524.8245,148.297229,618.0899764,4,8,137,-3.7043
N-1346-08-S_-3113666496_44093,N-1346-08-S,4.994,6/20/09,1,4,s,i,d,-135241.9281,-224073.2074,391.136042,614.4954907,4,8,184,-11.202
N-1346-08-S_-3113234496_48500,N-1346-08-S,4.994,6/25/09,1,4,s,a,s,-135477.6803,-223072.0644,73.116864,612.4587661,4,8,97,-1.4485
N-1346-08-S_-3113148096_28481,N-1346-08-S,4.994,6/26/09,1,4,s,a,f,-134407.4706,-225394.4699,259.201545,618.2072701,4,8,85,-6.1412
