Depth,Distance,TealeX,TealeY,ATOScal
-28,957.135262,-127350,-241611.5809,657.1995207
-26,866.019067,-127250,-241611.5809,657.316198
-26,776.62525,-127150,-241611.5809,657.4328753
-25,690.008712,-127050,-241611.5809,657.5495526
-25,607.517298,-126950,-241611.5809,657.66623
-21,531.076746,-126850,-241611.5809,657.7829073
-21,463.689286,-126750,-241611.5809,657.8995846
-15,408.955529,-126650,-241611.5809,658.1381901
-15,324.434277,-126550,-241611.5809,658.2671384
-8,244.911603,-126450,-241611.5809,658.3960868
-8,179.454439,-126350,-241611.5809,658.5250351
-1,106.715625,-126250,-241611.5809,658.6539835
-1,24.767674,-126150,-241611.5809,658.7829319
-48,1827.195617,-128450,-241511.5809,655.8987258
-48,1740.943571,-128350,-241511.5809,656.0092113
-43,1656.238272,-128250,-241511.5809,656.1196969
-43,1573.329561,-128150,-241511.5809,656.2301824
-39,1492.516868,-128050,-241511.5809,656.340668
-39,1414.159573,-127950,-241511.5809,656.4511536
-35,1338.688908,-127850,-241511.5809,656.5616391
-35,1264.51522,-127750,-241511.5809,656.6721247
-31,1193.763367,-127650,-241511.5809,656.7826102
-31,1115.049766,-127550,-241511.5809,656.8930958
-28,1018.438558,-127450,-241511.5809,657.0035814
-28,922.549842,-127350,-241511.5809,657.062674
-26,827.634779,-127250,-241511.5809,657.1793513
-26,734.071142,-127150,-241511.5809,657.2960286
-25,642.449654,-127050,-241511.5809,657.4127059
-25,553.12902,-126950,-241511.5809,657.5293832
-21,467.885623,-126850,-241511.5809,657.6460606
-21,389.720669,-126750,-241511.5809,657.7627379
-15,323.724218,-126650,-241511.5809,657.8794152
-15,277.19035,-126550,-241511.5809,658.1212993
-8,188.3644,-126450,-241511.5809,658.2502476
-8,104.922239,-126350,-241511.5809,658.379196
-1,44.7957,-126250,-241511.5809,658.5081443
-48,1960.529927,-128650,-241411.5809,655.9666352
-48,1869.737492,-128550,-241411.5809,656.0540466
-44,1779.932297,-128450,-241411.5809,656.1414581
-44,1691.271616,-128350,-241411.5809,655.8454955
-39,1603.945253,-128250,-241411.5809,655.955981
-39,1518.183477,-128150,-241411.5809,656.0664666
-35,1434.266978,-128050,-241411.5809,656.1769522
-35,1352.539263,-127950,-241411.5809,656.2874377
-31,1273.421829,-127850,-241411.5809,656.3979233
-31,1197.43219,-127750,-241411.5809,656.5084088
-28,1123.160499,-127650,-241411.5809,656.6188944
-28,1052.407593,-127550,-241411.5809,656.72938
-25,982.41163,-127450,-241411.5809,656.8398655
-25,897.824322,-127350,-241411.5809,656.9503511
-24,799.981018,-127250,-241411.5809,657.0425046
-24,702.745149,-127150,-241411.5809,657.1591819
-20,606.408987,-127050,-241411.5809,657.2758592
-20,511.481157,-126950,-241411.5809,657.3925365
-15,418.920147,-126850,-241411.5809,657.5092138
-15,329.782724,-126750,-241411.5809,657.6258912
-10,248.438903,-126650,-241411.5809,657.7425685
-10,185.437954,-126550,-241411.5809,657.8592458
-1,144.510649,-126450,-241411.5809,658.1044085
-1,64.640679,-126350,-241411.5809,658.2333568
-48,1916.795046,-128650,-241311.5809,655.7890171
-48,1827.071284,-128550,-241311.5809,655.8764285
-44,1737.145401,-128450,-241311.5809,655.9638399
-44,1646.181897,-128350,-241311.5809,656.0512514
-39,1556.32758,-128250,-241311.5809,656.1386628
-39,1467.786166,-128150,-241311.5809,655.9027508
-35,1380.810242,-128050,-241311.5809,656.0132363
-35,1295.7151,-127950,-241311.5809,656.1237219
-31,1212.896663,-127850,-241311.5809,656.2342074
-31,1132.854364,-127750,-241311.5809,656.344693
-28,1056.219535,-127650,-241311.5809,656.4551786
-28,981.82497,-127550,-241311.5809,656.5656641
-25,911.072173,-127450,-241311.5809,656.6761497
-25,841.269432,-127350,-241311.5809,656.7866352
-24,768.739889,-127250,-241311.5809,656.8971208
-24,680.531791,-127150,-241311.5809,657.0223352
-20,585.42477,-127050,-241311.5809,657.1390125
-20,486.418828,-126950,-241311.5809,657.2556898
-15,387.923177,-126850,-241311.5809,657.3723671
-15,290.457409,-126750,-241311.5809,657.4890444
-10,195.567436,-126650,-241311.5809,657.6057218
-10,107.524777,-126550,-241311.5809,657.7223991
-1,62.985469,-126450,-241311.5809,657.8390764
-1,6.802979,-126350,-241311.5809,658.0875177
-44,1875.860483,-128650,-241211.5809,655.6113989
-44,1784.079253,-128550,-241211.5809,655.6988104
-39,1693.229166,-128450,-241211.5809,655.7862218
-39,1603.468502,-128350,-241211.5809,655.8736333
-35,1513.826508,-128250,-241211.5809,655.9610447
-35,1422.642397,-128150,-241211.5809,656.0484561
-31,1332.72356,-128050,-241211.5809,656.1358676
-31,1244.344318,-127950,-241211.5809,655.960006
-28,1157.857278,-127850,-241211.5809,656.0704916
-28,1073.719783,-127750,-241211.5809,656.1809772
-25,992.529529,-127650,-241211.5809,656.2914627
-25,915.071342,-127550,-241211.5809,656.4019483
-22,840.518314,-127450,-241211.5809,656.5124338
-22,769.768322,-127350,-241211.5809,656.6229194
-19,700.23989,-127250,-241211.5809,656.733405
-19,627.345728,-127150,-241211.5809,656.8438905
-15,553.68056,-127050,-241211.5809,656.9543761
-15,458.825713,-126950,-241211.5809,657.1188431
-9,364.456788,-126850,-241211.5809,657.2355204
-9,273.348127,-126750,-241211.5809,657.3521977
-1,182.309966,-126650,-241211.5809,657.468875
-1,83.96879,-126550,-241211.5809,657.5855524
-44,1839.456945,-128650,-241111.5809,655.4337808
-44,1745.762894,-128550,-241111.5809,655.5211923
-39,1652.808008,-128450,-241111.5809,655.6086037
-39,1560.724364,-128350,-241111.5809,655.6960151
-35,1469.675736,-128250,-241111.5809,655.7834266
